sample,AFR,AMR,EAS,EUR,SAS
NA12058,0.0000,0.0000,0.0000,1.0000,0.0000
HG00355,0.0000,0.0000,0.0000,1.0000,0.0000
HG02582,1.0000,0.0000,0.0000,0.0000,0.0000
HG00258,0.0000,0.0000,0.0000,1.0000,0.0000
NA12155,0.0000,0.0000,0.0000,1.0000,0.0000
HG02941,1.0000,0.0000,0.0000,0.0000,0.0000
HG03743,0.0000,0.0000,0.0000,0.0000,1.0000
HG01077,0.1584,0.4974,0.0000,0.3442,0.0000
NA11919,0.0000,0.0000,0.0000,1.0000,0.0000
HG02026,0.0000,0.0000,0.9997,0.0000,0.0003
NA18642,0.0000,0.0388,0.9612,0.0000,0.0000
NA18635,0.0000,0.0000,1.0000,0.0000,0.0000
HG03485,1.0000,0.0000,0.0000,0.0000,0.0000
HG03511,1.0000,0.0000,0.0000,0.0000,0.0000
NA19375,1.0000,0.0000,0.0000,0.0000,0.0000
HG03846,0.0000,0.0000,0.0000,0.0000,1.0000
NA18947,0.0000,0.0000,1.0000,0.0000,0.0000
HG02397,0.0000,0.0000,1.0000,0.0000,0.0000
HG02379,0.0000,0.0000,1.0000,0.0000,0.0000
NA19648,0.0000,0.1738,0.0000,0.8262,0.0000
NA20525,0.0000,0.0000,0.0000,1.0000,0.0000
HG03121,1.0000,0.0000,0.0000,0.0000,0.0000
NA20908,0.0000,0.0000,0.0000,0.0000,1.0000
HG01781,0.0000,0.0000,0.0000,1.0000,0.0000
NA20805,-0.0000,0.0000,0.0000,1.0000,0.0000
NA19732,0.0000,0.8328,0.1672,0.0000,0.0000
HG00107,0.0000,0.0000,0.0000,1.0000,0.0000
HG04238,0.0000,0.0000,0.0000,0.0000,1.0000
HG01686,0.0000,0.0000,0.0000,1.0000,0.0000
HG00099,0.0000,0.0000,0.0000,1.0000,0.0000
HG02734,0.0000,0.0000,0.0000,0.2333,0.7667
NA19391,1.0000,0.0000,0.0000,0.0000,0.0000
HG03941,0.0000,0.0000,0.0000,0.0000,1.0000
NA19308,1.0000,0.0000,0.0000,0.0000,0.0000
NA18560,0.0000,0.0000,1.0000,0.0000,0.0000
NA18517,1.0000,0.0000,0.0000,0.0000,0.0000
HG02373,0.0000,0.0000,1.0000,0.0000,0.0000
HG04131,0.0000,0.0000,0.1103,0.0000,0.8897
HG04146,0.0000,0.0000,0.1059,0.0000,0.8941
HG01488,0.1194,0.3903,0.0000,0.4903,0.0000
HG03228,0.0000,0.0000,0.0000,0.0000,1.0000
HG03352,1.0000,0.0000,0.0000,0.0000,0.0000
NA19982,0.9286,0.0000,0.0000,0.0714,0.0000
NA20756,0.0000,0.0000,0.0000,1.0000,0.0000
NA18614,0.0000,0.0000,1.0000,0.0000,0.0000
HG02070,0.0000,0.0000,1.0000,0.0000,0.0000
NA19171,1.0000,0.0000,0.0000,0.0000,0.0000
NA19092,1.0000,0.0000,0.0000,0.0000,0.0000
HG03762,0.0000,0.0000,0.0000,0.0000,1.0000
HG03681,0.0000,0.0000,0.0000,0.0000,1.0000
HG00634,0.0000,0.0000,1.0000,0.0000,0.0000
HG00739,0.0199,0.1872,0.0000,0.7928,0.0000
NA19098,1.0000,0.0000,0.0000,0.0000,0.0000
HG03786,0.0000,0.0000,0.0000,0.0000,1.0000
