sample,AFR,AMR,EAS,EUR,SAS
HG01444,0.0453,0.7602,0.0000,0.1945,0.0000
HG03370,1.0000,0.0000,0.0000,0.0000,0.0000
NA19834,0.7982,0.0000,0.0000,0.2018,0.0000
HG01869,0.0000,0.0000,1.0000,0.0000,0.0000
NA20774,0.0000,0.0000,0.0000,1.0000,0.0000
HG00251,0.0000,0.0000,0.0000,1.0000,0.0000
NA21116,0.0000,0.0000,0.0000,0.0434,0.9566
HG04014,0.0000,0.0000,0.0000,0.0000,1.0000
HG04180,0.0000,0.0000,0.0859,0.0000,0.9141
HG01863,0.0000,0.0000,1.0000,0.0000,0.0000
HG01980,0.0000,0.9358,0.0642,0.0000,0.0000
HG03394,1.0000,0.0000,0.0000,0.0000,0.0000
HG02058,0.0000,0.0000,0.9617,0.0000,0.0383
HG02155,0.0000,0.0000,1.0000,0.0000,0.0000
NA19023,1.0000,0.0000,0.0000,0.0000,0.0000
NA19054,0.0000,0.0000,1.0000,0.0000,0.0000
HG01104,0.0450,0.3583,0.0000,0.5967,0.0000
NA19159,1.0000,0.0000,0.0000,0.0000,0.0000
HG03079,1.0000,0.0000,0.0000,0.0000,0.0000
NA19684,0.0000,0.6615,0.0000,0.3385,0.0000
NA20827,0.0146,0.0000,0.0000,0.9854,0.0000
HG03097,1.0000,0.0000,0.0000,0.0000,0.0000
HG03103,1.0000,0.0000,0.0000,0.0000,0.0000
HG02688,0.0000,0.0000,0.0000,0.0004,0.9996
HG02666,1.0000,0.0000,0.0000,0.0000,0.0000
NA19320,1.0000,0.0000,0.0000,0.0000,0.0000
HG01393,0.1863,0.4325,0.0000,0.3813,0.0000
NA18868,1.0000,0.0000,0.0000,0.0000,0.0000
NA12762,0.0000,0.0000,0.0000,1.0000,0.0000
NA18965,0.0000,0.0000,1.0000,0.0000,0.0000
HG02256,0.8173,0.0000,0.0000,0.1827,0.0000
NA18548,0.0000,0.0000,1.0000,0.0000,0.0000
NA18912,1.0000,0.0000,0.0000,0.0000,0.0000
HG03539,1.0000,0.0000,0.0000,0.0000,0.0000
HG03963,0.0000,0.0000,0.0000,0.0000,1.0000
HG03914,0.0000,0.0000,0.1100,0.0000,0.8900
NA18981,0.0000,0.0000,1.0000,0.0000,0.0000
NA18535,0.0000,0.0000,1.0000,0.0000,0.0000
HG03073,1.0000,0.0000,0.0000,0.0000,0.0000
HG01747,0.0000,0.0000,0.0000,1.0000,0.0000
HG03109,1.0000,0.0000,0.0000,0.0000,0.0000
HG04210,0.0000,0.0000,0.0000,0.0000,1.0000
HG02682,0.0000,0.0000,0.0000,0.2167,0.7833
HG02716,1.0000,0.0000,0.0000,0.0000,0.0000
HG00158,0.0000,0.0000,0.0000,1.0000,0.0000
HG01938,0.0000,0.8764,0.1236,0.0000,0.0000
HG01515,0.0000,0.0000,0.0000,1.0000,0.0000
NA19445,1.0000,0.0000,0.0000,0.0000,0.0000
HG01842,0.0000,0.0000,1.0000,0.0000,0.0000
HG04035,0.0000,0.0000,0.0000,0.0000,1.0000
HG04042,0.0000,0.0000,0.0000,0.0000,1.0000
NA21137,0.0000,0.0000,0.0000,0.0000,1.0000
HG02813,1.0000,0.0000,0.0000,0.0000,0.0000
NA11931,0.0000,0.0000,0.0000,1.0000,0.0000
HG03611,0.0000,0.0000,0.1046,0.0000,0.8954
HG03785,0.0000,0.0000,0.0000,0.0000,1.0000
NA19075,0.0000,0.0000,1.0000,0.0000,0.0000
HG01028,0.0000,0.0000,1.0000,0.0000,0.0000
HG00637,0.1122,0.3967,0.0000,0.4911,0.0000
HG00640,0.0357,0.3429,0.0000,0.6214,0.0000
HG02079,0.0000,0.0000,0.9998,0.0000,0.0002
NA12889,0.0000,0.0000,0.0000,1.0000,0.0000
NA18617,0.0000,0.0000,1.0000,0.0000,0.0000
HG02073,0.0000,0.0000,1.0000,0.0000,0.0000
HG01945,0.0000,0.9221,0.0779,0.0000,0.0000
HG01932,0.0000,1.0000,0.0000,0.0000,0.0000
HG01412,0.0375,0.5847,0.0000,0.3779,0.0000
HG01848,0.0000,0.0000,1.0000,0.0000,0.0000
HG03351,1.0000,0.0000,0.0000,0.0000,0.0000
NA18939,0.0005,0.0000,0.9995,0.0000,0.0000
NA18563,0.0000,0.0000,1.0000,0.0000,0.0000
HG02307,1.0000,0.0000,0.0000,0.0000,0.0000
NA12749,0.0000,0.0000,0.0000,1.0000,0.0000
HG03518,1.0000,0.0000,0.0000,0.0000,0.0000
NA19206,1.0000,0.0000,0.0000,0.0000,0.0000
NA20901,0.0000,0.0000,0.0000,0.0851,0.9149
HG03052,1.0000,0.0000,0.0000,0.0000,0.0000
HG01685,0.0156,0.0000,0.0000,0.9844,0.0000
HG00173,0.0000,0.0000,0.0484,0.9516,0.0000
NA20806,0.0000,0.0000,0.0000,1.0000,0.0000
NA19746,0.0000,0.9143,0.0857,0.0000,0.0000
HG02277,0.0000,0.9472,0.0528,0.0000,0.0000
HG00534,0.0000,0.0000,1.0000,0.0000,0.0000
HG02394,0.0000,0.0000,1.0000,0.0000,0.0000
NA18944,0.0000,0.0000,1.0000,0.0000,0.0000
HG03565,1.0000,0.0000,0.0000,0.0000,0.0000
HG01251,0.0000,0.6560,0.0000,0.3440,0.0000
HG03832,0.0000,0.0000,0.1054,0.0000,0.8946
NA19376,1.0000,0.0000,0.0000,0.0000,0.0000
HG02146,0.0000,0.9021,0.0979,0.0000,0.0000
HG00672,0.0000,0.0000,1.0000,0.0000,0.0000
NA12828,0.0000,0.0000,0.0000,1.0000,0.0000
NA19030,1.0000,0.0000,0.0000,0.0000,0.0000
HG04070,0.0000,0.0000,0.0000,0.0000,1.0000
NA21091,0.0000,0.0000,0.0000,0.0000,1.0000
HG00235,0.0000,0.0000,0.0000,1.0000,0.0000
HG00338,0.0000,0.0000,0.0354,0.9646,0.0000
NA19920,0.9662,0.0000,0.0000,0.0338,0.0000
NA20783,0.0000,0.0000,0.0000,1.0000,0.0000
HG01550,0.0000,0.6267,0.0000,0.3733,0.0000
HG01870,0.0000,0.0000,1.0000,0.0000,0.0000
HG03369,1.0000,0.0000,0.0000,0.0000,0.0000
HG01807,0.0000,0.0000,1.0000,0.0000,0.0000
HG02406,0.0000,0.0000,1.0000,0.0000,0.0000
HG00332,0.0000,0.0000,0.0384,0.9616,0.0000
HG04094,0.0000,-0.0000,0.0000,0.0000,1.0000
HG04177,0.0000,0.0000,0.0988,0.0000,0.9012
HG00345,0.0000,0.0000,0.0468,0.9532,0.0000
HG01894,0.9615,0.0000,0.0000,0.0385,0.0000
HG01977,0.0000,0.9483,0.0517,0.0000,0.0000
HG03363,1.0000,0.0000,0.0000,0.0000,0.0000
HG03280,1.0000,0.0000,0.0000,0.0000,0.0000
NA19137,1.0000,0.0000,0.0000,0.0000,0.0000
HG03753,0.0000,0.0000,0.0000,0.0000,1.0000
HG01067,0.0368,0.4397,0.0000,0.5235,0.0000
NA20320,0.9346,0.0000,0.0000,0.0654,0.0000
NA20357,0.9343,0.0000,0.0000,0.0657,0.0000
NA20849,0.0000,0.0000,0.0000,0.0000,1.0000
HG03060,1.0000,0.0000,0.0000,0.0000,0.0000
HG02691,0.0000,0.0000,0.0000,0.2497,0.7503
HG03907,0.0000,0.0000,0.0690,0.0000,0.9310
HG01269,0.0000,0.6798,0.0000,0.3202,0.0000
NA18526,0.0000,0.0000,1.0000,0.0000,0.0000
HG00476,0.0000,0.0000,1.0000,0.0000,0.0000
HG03557,1.0000,0.0000,0.0000,0.0000,0.0000
HG03899,0.0000,0.0000,0.0000,0.0000,1.0000
NA18976,0.0000,0.0000,1.0000,0.0000,0.0000
HG02232,0.0000,0.0000,0.0000,1.0000,0.0000
NA18998,0.0000,0.0000,1.0000,0.0000,0.0000
NA20514,0.0000,0.0000,0.0000,1.0000,0.0000
NA19679,0.0000,0.1390,0.0000,0.8610,0.0000
HG03084,1.0000,0.0000,0.0000,0.0000,0.0000
HG03189,1.0000,0.0000,0.0000,0.0000,0.0000
HG00136,0.0000,0.0000,0.0000,1.0000,0.0000
HG02675,1.0000,0.0000,0.0000,0.0000,0.0000
HG00141,0.0000,0.0000,0.0000,1.0000,0.0000
HG04209,0.0000,0.0000,0.0000,0.0000,1.0000
HG02778,0.0000,0.0000,0.0000,0.0000,1.0000
NA12341,0.0000,0.0000,0.0000,1.0000,0.0000
HG02702,1.0000,0.0000,0.0000,0.0000,0.0000
HG02696,0.0000,0.0000,0.0000,0.1224,0.8776
HG01280,0.0000,0.6812,0.0000,0.3188,0.0000
HG03900,0.0000,0.0000,0.0000,0.0000,1.0000
HG03977,0.0000,0.0000,0.0000,0.0000,1.0000
NA18876,1.0000,0.0000,0.0000,0.0000,0.0000
HG02332,0.9715,0.0000,0.0000,0.0285,0.0000
HG00406,0.0000,0.0000,1.0000,0.0000,0.0000
HG03870,0.0000,0.0000,0.0000,0.0000,1.0000
NA19239,1.0000,0.0000,0.0000,0.0000,0.0000
NA12776,0.0000,0.0000,0.0000,1.0000,0.0000
NA18971,0.0000,0.0000,1.0000,0.0000,0.0000
NA19773,0.0000,0.8516,0.0000,0.1484,0.0000
HG01623,0.0181,0.0000,0.0000,0.9819,0.0000
HG03117,1.0000,0.0000,0.0000,0.0000,0.0000
NA20513,0.0000,0.0000,0.0000,1.0000,0.0000
NA18628,0.0000,0.0000,1.0000,0.0000,0.0000
HG00675,0.0000,0.0000,1.0000,0.0000,0.0000
HG03729,0.0000,0.0000,0.0000,0.0000,1.0000
NA19037,1.0000,0.0000,0.0000,0.0000,0.0000
HG03653,0.0000,0.0000,0.0000,0.0794,0.9206
HG01167,0.2090,0.3884,0.0000,0.4026,0.0000
HG01110,0.0961,0.3240,0.0000,0.5799,0.0000
HG03624,0.0000,0.0000,0.0000,0.2398,0.7602
HG00232,0.0000,0.0000,0.0000,1.0000,0.0000
HG02571,1.0000,0.0000,0.0000,0.0000,0.0000
HG01800,0.0000,0.0000,1.0000,0.0000,0.0000
HG03380,1.0000,0.0000,0.0000,0.0000,0.0000
HG00342,0.0000,0.0000,0.0453,0.9547,0.0000
HG02476,0.8889,0.0000,0.0000,0.1111,0.0000
HG02595,1.0000,0.0000,0.0000,0.0000,0.0000
HG04107,0.0000,0.0000,0.0000,0.0000,1.0000
HG02401,0.0000,0.0000,1.0000,0.0000,0.0000
HG04093,0.0000,0.0000,0.0000,0.0000,1.0000
HG00238,0.0000,0.0000,0.0000,1.0000,0.0000
HG03313,1.0000,0.0000,0.0000,0.0000,0.0000
NA20760,0.0000,0.0000,0.0000,1.0000,0.0000
HG01970,0.0000,0.9496,0.0504,0.0000,0.0000
HG01893,0.0000,0.9711,0.0289,0.0000,0.0000
HG00705,0.0000,0.0000,1.0000,0.0000,0.0000
NA18622,0.0000,0.0000,1.0000,0.0000,0.0000
HG03754,0.0000,0.0000,0.0000,0.0000,1.0000
HG01060,0.0501,0.3449,0.0000,0.6050,0.0000
NA19130,1.0000,0.0000,0.0000,0.0000,0.0000
NA19147,1.0000,0.0000,0.0000,0.0000,0.0000
NA18564,0.0000,0.0000,1.0000,0.0000,0.0000
HG03848,0.0000,0.0000,0.0000,0.0000,1.0000
HG01351,0.0000,0.7050,0.0000,0.2950,0.0000
NA19201,1.0000,0.0000,0.0000,0.0000,0.0000
NA19395,1.0000,0.0000,0.0000,0.0000,0.0000
HG00190,0.0000,0.0000,0.0242,0.9758,0.0000
HG00109,0.0000,0.0000,0.0000,1.0000,0.0000
HG03022,0.0000,0.0000,0.0000,0.0000,1.0000
HG01682,0.0000,0.0000,0.0000,1.0000,0.0000
HG03055,1.0000,0.0000,0.0000,0.0000,0.0000
NA20906,0.0000,0.0000,0.0000,0.0000,1.0000
HG00103,0.0000,0.0000,0.0000,1.0000,0.0000
HG00097,0.0000,0.0000,0.0000,1.0000,0.0000
HG00174,0.0000,0.0000,0.0192,0.9808,0.0000
NA20876,0.0000,0.0000,0.0000,0.0000,1.0000
NA19741,0.0000,0.8589,0.1411,0.0000,0.0000
HG03028,1.0000,0.0000,0.0000,0.0000,0.0000
NA20801,0.0000,0.0000,0.0000,1.0000,0.0000
HG01785,0.0000,0.0000,0.0000,1.0000,0.0000
HG00864,0.0000,0.0000,1.0000,0.0000,0.0000
HG00449,0.0000,0.0000,1.0000,0.0000,0.0000
NA18943,0.0000,0.0000,1.0000,0.0000,0.0000
HG00533,0.0000,0.0000,1.0000,0.0000,0.0000
NA18934,1.0000,0.0000,0.0000,0.0000,0.0000
HG01256,0.0000,0.4302,-0.0000,0.5698,0.0000
HG03515,1.0000,0.0000,0.0000,0.0000,0.0000
HG01845,0.0000,0.0000,1.0000,0.0000,0.0000
NA19435,1.0000,0.0000,0.0000,0.0000,0.0000
NA20758,0.0000,0.0000,0.0000,1.0000,0.0000
HG01468,0.0000,0.4886,0.0000,0.5114,0.0000
NA19818,0.7745,0.0000,0.0000,0.2255,0.0000
HG01512,0.0000,0.0000,0.0000,1.0000,0.0000
HG01948,0.0000,0.8592,0.1408,0.0000,0.0000
HG01486,0.0000,0.8662,0.0000,0.1338,0.0000
HG01565,0.0000,0.9456,0.0544,0.0000,0.0000
HG02814,1.0000,0.0000,0.0000,0.0000,0.0000
HG02439,1.0000,0.0000,0.0000,0.0000,0.0000
NA21130,0.0000,0.0000,0.0000,0.0000,1.0000
NA19005,0.0000,0.0000,1.0000,0.0000,0.0000
HG01058,0.0917,0.4725,0.0000,0.4358,0.0000
HG03782,0.0000,0.0000,0.0000,0.0000,1.0000
HG03616,0.0000,0.0000,0.1125,0.0000,0.8875
HG02009,0.8898,0.0000,0.0000,0.1102,0.0000
HG02104,0.0000,0.8846,0.1154,0.0000,0.0000
NA20281,0.8832,0.0000,0.0000,0.1168,0.0000
HG01052,0.1848,0.5180,0.0000,0.2972,0.0000
NA11831,0.0000,0.0000,0.0000,1.0000,0.0000
NA19078,0.0000,0.0000,1.0000,0.0000,0.0000
HG03685,0.0000,0.0000,0.0000,0.0000,1.0000
HG03788,0.0000,0.0000,0.0000,0.0000,1.0000
HG02003,0.0000,0.9143,0.0857,0.0000,0.0000
HG00740,0.0710,0.4359,0.0000,0.4931,0.0000
NA18610,0.0000,0.0000,1.0000,0.0000,0.0000
HG02179,0.0000,0.0000,1.0000,0.0000,0.0000
NA19448,1.0000,0.0000,0.0000,0.0000,0.0000
HG01935,0.0000,1.0000,0.0000,0.0000,0.0000
HG01518,-0.0000,0.0000,0.0000,1.0000,0.0000
HG01942,0.0000,1.0000,0.0000,0.0000,0.0000
HG02433,0.9076,0.0000,0.0000,0.0924,0.0000
HG02549,1.0000,0.0000,0.0000,0.0000,0.0000
HG02887,1.0000,0.0000,0.0000,0.0000,0.0000
NA19717,0.0000,0.9632,0.0368,0.0000,0.0000
HG02661,0.0000,0.0000,0.0000,0.1463,0.8537
HG00155,0.0000,0.0000,0.0000,1.0000,0.0000
HG00122,0.0000,0.0000,0.0000,1.0000,0.0000
HG01200,0.0291,0.2745,0.0000,0.6965,0.0000
NA19327,1.0000,0.0000,0.0000,0.0000,0.0000
HG03814,0.0000,0.0000,0.1107,0.0000,0.8893
NA19350,1.0000,0.0000,0.0000,0.0000,0.0000
NA18915,1.0000,0.0000,0.0000,0.0000,0.0000
NA18881,1.0000,0.0000,0.0000,0.0000,0.0000
NA19257,1.0000,0.0000,0.0000,0.0000,0.0000
HG03887,0.0000,0.0000,0.0000,0.0000,1.0000
HG03433,1.0000,0.0000,0.0000,0.0000,0.0000
NA18532,0.0000,0.0000,1.0000,0.0000,0.0000
NA18865,1.0000,0.0000,0.0000,0.0000,0.0000
HG00581,0.0000,0.0000,1.0000,0.0000,0.0000
HG02356,0.0000,0.0000,1.0000,0.0000,0.0000
HG00128,0.0000,0.0000,0.0000,1.0000,0.0000
NA18646,0.0000,0.0000,1.0000,0.0000,0.0000
NA18631,0.0000,0.0000,1.0000,0.0000,0.0000
HG01073,0.0400,0.4457,0.0000,0.5143,0.0000
HG02568,1.0000,0.0000,0.0000,0.0000,0.0000
HG04019,0.0000,0.0000,0.0000,0.0000,1.0000
HG00351,0.0000,0.0000,0.0390,0.9610,0.0000
HG00326,0.0000,0.0000,0.0331,0.9669,0.0000
HG01880,0.5908,0.0000,0.0376,0.0000,0.3716
HG01914,0.9018,0.0000,0.0000,0.0982,0.0000
HG03300,1.0000,0.0000,0.0000,0.0000,0.0000
HG03294,1.0000,0.0000,0.0000,0.0000,0.0000
HG02481,0.9565,0.0000,0.0000,0.0435,0.0000
HG02938,1.0000,0.0000,0.0000,0.0000,0.0000
NA21111,0.0000,0.0000,0.0000,0.0000,1.0000
HG00256,0.0000,0.0000,0.0000,1.0000,0.0000
HG01864,0.0000,0.0000,1.0000,0.0000,0.0000
HG02152,0.0000,0.0000,1.0000,0.0000,0.0000
HG03640,0.0000,0.0000,0.0000,0.0000,1.0000
HG01174,0.0321,0.3569,0.0000,0.6109,0.0000
NA19129,1.0000,0.0000,0.0000,0.0000,0.0000
HG01079,0.1259,0.3941,0.0000,0.4800,0.0000
HG02380,0.0000,0.0000,1.0000,0.0000,0.0000
HG00557,0.0000,0.0000,1.0000,0.0000,0.0000
HG01348,0.0000,1.0000,0.0000,0.0000,0.0000
HG03851,0.0000,0.0000,0.0000,0.0000,1.0000
NA19315,1.0000,0.0000,0.0000,0.0000,0.0000
HG02624,1.0000,0.0000,0.0000,0.0000,0.0000
HG00110,0.0000,0.0000,0.0000,1.0000,0.0000
HG01796,0.0000,0.0000,1.0000,0.0000,0.0000
HG03136,1.0000,0.0000,0.0000,0.0000,0.0000
HG01602,0.0150,0.0000,0.0000,0.9850,0.0000
NA19752,0.0000,0.9495,0.0505,0.0000,0.0000
NA19725,0.0000,0.8203,0.0000,0.1797,0.0000
NA20812,0.0000,0.0000,0.0000,1.0000,0.0000
NA12383,0.0000,0.0000,0.0000,1.0000,0.0000
HG04225,0.0000,0.0000,0.0000,0.0000,1.0000
HG01608,0.0109,0.0000,0.0000,0.9891,0.0000
NA20881,0.0000,0.0000,0.0000,0.2412,0.7588
NA19655,0.0000,0.7705,0.0000,0.2295,0.0000
NA20818,0.0000,0.0000,0.0000,1.0000,0.0000
HG03046,1.0000,0.0000,0.0000,0.0000,0.0000
NA19758,0.0000,0.8891,0.1109,0.0000,0.0000
NA18577,0.0000,0.0000,1.0000,0.0000,0.0000
HG02364,0.0000,0.0000,1.0000,0.0000,0.0000
NA18599,0.0000,0.0000,1.0000,0.0000,0.0000
HG03595,0.0000,0.0000,0.0999,0.0000,0.9001
HG03401,1.0000,0.0000,0.0000,0.0000,0.0000
HG03476,1.0000,0.0000,0.0000,-0.0000,0.0000
HG01342,0.3150,0.5859,0.0000,0.0991,0.0000
NA07051,0.0000,0.0000,0.0000,1.0000,0.0000
HG02977,1.0000,0.0000,0.0000,0.0000,0.0000
NA21129,0.0000,0.0000,0.0000,0.0000,1.0000
HG02420,0.6041,0.0000,0.0000,0.3959,0.0000
HG00280,0.0000,0.0000,0.0363,0.9637,0.0000
NA18603,0.0000,0.0000,1.0000,0.0000,0.0000
HG00629,0.0000,0.0000,1.0000,0.0000,0.0000
HG02089,0.0000,0.9508,0.0492,0.0000,0.0000
HG02184,0.0000,0.0000,1.0000,0.0000,0.0000
NA12873,0.0000,0.0000,0.0000,1.0000,0.0000
HG02010,0.8914,0.0000,0.0000,0.1086,0.0000
HG02067,0.0000,0.0000,1.0000,0.0000,0.0000
HG01131,0.0000,0.6902,0.0000,0.3098,0.0000
HG03708,0.0000,0.0000,0.0000,0.0810,0.9190
NA20298,0.9762,0.0238,0.0000,0.0000,0.0000
HG00654,0.0000,0.0000,1.0000,0.0000,0.0000
NA18609,0.0000,0.0000,1.0000,0.0000,0.0000
HG00759,0.0000,0.0000,1.0000,0.0000,0.0000
HG01501,0.0202,0.0000,0.0000,0.9798,0.0000
HG03235,0.0000,0.0000,0.0000,0.1933,0.8067
HG01495,0.0450,0.9550,0.0000,0.0000,0.0000
NA19451,1.0000,0.0000,0.0000,0.0000,0.0000
NA21123,0.0000,0.0000,0.0000,0.0000,1.0000
HG04056,0.0000,0.0000,0.0000,0.0000,1.0000
HG02807,1.0000,0.0000,0.0000,0.0000,0.0000
HG00369,0.0000,0.0000,0.0000,1.0000,0.0000
HG03745,0.0000,0.0000,0.0000,0.0000,1.0000
NA18644,0.0000,0.0000,1.0000,0.0000,0.0000
HG00619,0.0000,0.0000,1.0000,0.0000,0.0000
NA18633,0.0000,0.0000,1.0000,0.0000,0.0000
NA18749,0.0000,0.0000,1.0000,0.0000,0.0000
HG02057,0.0000,0.0000,0.9877,0.0000,0.0123
NA12843,0.0000,0.0000,0.0000,1.0000,0.0000
HG01961,0.0000,0.8545,0.1455,0.0000,0.0000
NA20771,0.0000,0.0000,-0.0000,1.0000,0.0000
HG01441,0.0000,0.9585,0.0000,0.0415,0.0000
HG02489,0.9309,0.0000,0.0000,0.0691,0.0000
HG02947,1.0000,0.0000,0.0000,0.0000,0.0000
HG00353,0.0000,0.0000,0.0437,0.9563,0.0000
HG04161,0.0000,0.0000,0.1215,0.0000,0.8785
HG00324,0.0000,0.0000,0.0444,0.9556,0.0000
HG02410,0.0000,0.0000,1.0000,0.0000,0.0000
NA20795,0.0000,0.0000,0.0000,1.0000,0.0000
HG01531,0.0123,0.0000,0.0000,0.9877,0.0000
HG01811,0.0000,0.0000,1.0000,0.0000,0.0000
HG01985,0.9734,0.0000,0.0000,0.0266,0.0000
HG04185,0.0000,0.0000,0.0000,0.0000,1.0000
NA21113,0.0000,0.0000,0.0000,0.0000,1.0000
HG02840,1.0000,0.0000,0.0000,0.0000,0.0000
HG02837,1.0000,0.0000,0.0000,0.0000,0.0000
NA11881,0.0000,0.0000,0.0000,1.0000,0.0000
HG03642,0.0000,0.0000,0.0000,0.0000,1.0000
HG01095,0.0609,0.3889,0.0000,0.5502,0.0000
HG01198,0.1466,0.4101,0.0000,0.4433,0.0000
HG02127,0.0000,0.0000,1.0000,0.0000,0.0000
HG00613,0.0000,0.0000,1.0000,0.0000,0.0000
NA12413,0.0000,0.0000,0.0000,1.0000,0.0000
HG02780,0.0000,0.0000,0.0000,0.0000,1.0000
HG02614,1.0000,0.0000,0.0000,0.0000,0.0000
HG00120,0.0000,0.0000,0.0000,1.0000,0.0000
HG01632,0.0000,0.0000,0.0000,1.0000,0.0000
NA20502,0.0000,0.0000,0.0000,1.0000,0.0000
NA20822,0.0000,0.0000,0.0000,1.0000,0.0000
NA19681,0.0000,0.9426,0.0574,0.0000,0.0000
HG02253,-0.0000,1.0000,0.0000,0.0000,0.0000
NA18960,0.0000,0.0000,1.0000,0.0000,0.0000
HG00589,0.0000,0.0000,1.0000,0.0000,0.0000
HG01396,0.1350,0.5228,0.0000,0.3422,0.0000
HG01275,0.0000,0.1572,0.0000,0.8428,0.0000
HG03861,0.0000,0.0000,0.0000,0.0000,1.0000
HG01378,0.0000,1.0000,0.0000,0.0000,0.0000
NA18547,0.0000,0.0000,1.0000,0.0000,0.0000
HG00583,-0.0000,0.0000,1.0000,0.0000,0.0000
NA18867,1.0000,0.0000,0.0000,0.0000,0.0000
NA18984,0.0000,0.0000,1.0000,0.0000,0.0000
HG03885,0.0000,0.0000,0.0000,0.0000,1.0000
HG03911,0.0000,0.0000,0.0627,0.0000,0.9373
NA19222,1.0000,0.0000,0.0000,0.0000,0.0000
HG03446,1.0000,0.0000,0.0000,0.0000,0.0000
HG02687,-0.0000,0.0000,0.0000,0.0000,1.0000
NA20828,0.0000,0.0000,0.0000,1.0000,0.0000
HG03195,1.0000,0.0000,0.0000,0.0000,0.0000
HG04029,0.0000,0.0000,0.0000,0.0000,1.0000
HG02896,1.0000,0.0000,0.0000,0.0000,0.0000
HG02878,1.0000,0.0000,0.0000,0.0000,0.0000
HG00282,0.0000,0.0000,0.0468,0.9532,0.0000
HG04153,0.0000,0.0000,0.0918,0.0000,0.9082
HG00361,0.0000,0.0000,0.0561,0.9439,0.0000
HG01924,0.0000,0.8508,0.1492,0.0000,0.0000
HG01509,0.0152,0.0000,-0.0000,0.9848,0.0000
NA19087,0.0000,0.0000,1.0000,0.0000,0.0000
HG01139,0.1253,0.7424,0.0000,0.1323,0.0000
HG03777,0.0000,0.0000,0.0000,0.0000,1.0000
HG03694,0.0000,0.0000,0.0559,0.0881,0.8560
HG02081,0.0000,0.0000,1.0000,0.0000,0.0000
HG03793,0.0000,0.0000,0.0000,0.0000,1.0000
NA19119,1.0000,0.0000,0.0000,0.0000,0.0000
HG01133,0.0000,0.4132,0.0000,0.5868,0.0000
HG01049,0.2029,0.4094,0.0000,0.3878,0.0000
NA19063,0.0000,0.0000,1.0000,0.0000,0.0000
HG00266,0.0000,0.0000,0.0538,0.9462,0.0000
HG04023,0.0000,0.0000,0.0000,0.0000,1.0000
HG04159,0.0000,0.0000,0.0722,0.0000,0.9278
HG02805,1.0000,0.0000,0.0000,0.0000,0.0000
HG00288,0.0000,0.0000,0.0575,0.9425,0.0000
HG03237,0.0000,0.0000,0.0000,0.2393,0.7607
HG01497,0.0000,0.9064,0.0000,0.0936,0.0000
HG03240,1.0000,0.0000,0.0000,0.0000,0.0000
HG01479,0.0000,0.3662,0.0000,0.6338,0.0000
HG01247,0.1508,0.4949,0.0000,0.3543,0.0000
HG03490,0.0000,0.0000,0.0000,0.1926,0.8074
NA19360,1.0000,0.0000,0.0000,0.0000,0.0000
NA19317,1.0000,0.0000,0.0000,0.0000,0.0000
HG02382,0.0000,0.0000,1.0000,0.0000,0.0000
NA18952,0.0000,0.0000,1.0000,0.0000,0.0000
NA18508,1.0000,0.0000,0.0000,0.0000,0.0000
NA18591,0.0000,0.0000,1.0000,0.0000,0.0000
HG01794,0.0000,0.0000,1.0000,0.0000,0.0000
NA19750,0.0000,0.6989,0.0000,0.3011,0.0000
NA20810,0.0000,0.0000,0.0000,1.0000,0.0000
HG01699,0.0000,0.0000,0.0000,1.0000,0.0000
HG02651,0.0000,0.0000,0.0000,0.1959,0.8041
NA06986,0.0000,0.0000,0.0000,1.0000,0.0000
NA12286,0.0000,0.0000,0.0000,1.0000,0.0000
NA19657,0.0000,0.9493,0.0507,0.0000,0.0000
HG04227,0.0000,0.0000,0.0355,0.0000,0.9645
HG02721,1.0000,0.0000,0.0000,0.0000,0.0000
NA19210,1.0000,0.0000,0.0000,0.0000,0.0000
NA19384,1.0000,0.0000,0.0000,0.0000,0.0000
NA18502,1.0000,0.0000,0.0000,0.0000,0.0000
HG02285,0.0000,0.9320,0.0680,0.0000,0.0000
NA19042,1.0000,0.0000,0.0000,0.0000,0.0000
NA11892,0.0000,0.0000,0.0000,1.0000,0.0000
HG01112,0.0000,0.2183,0.0000,0.7817,0.0000
NA19138,1.0000,0.0000,0.0000,0.0000,0.0000
HG01086,0.0792,0.5281,0.0000,0.3927,0.0000
NA12400,0.0000,0.0000,0.0000,1.0000,0.0000
HG02134,0.0000,0.0000,1.0000,0.0000,0.0000
HG02143,0.8574,0.0000,0.0000,0.1426,0.0000
HG01802,0.0000,0.0000,1.0000,0.0000,0.0000
NA20786,0.0000,0.0000,0.0000,1.0000,0.0000
HG03382,1.0000,0.0000,0.0000,0.0000,0.0000
HG01522,0.0000,0.0000,0.0000,1.0000,0.0000
HG02409,0.0000,0.0000,1.0000,0.0000,0.0000
NA21094,0.0000,0.0000,0.0000,0.0000,1.0000
HG04075,0.0000,0.0000,0.0000,0.0000,1.0000
HG02573,1.0000,0.0000,0.0000,0.0000,0.0000
HG03311,1.0000,0.0000,0.0000,0.0000,0.0000
NA20762,0.0000,0.0000,0.0000,1.0000,0.0000
HG01808,0.0000,0.0000,1.0000,0.0000,0.0000
HG01528,0.0091,0.0000,0.0000,0.9909,0.0000
HG00337,0.0000,0.0000,0.0000,1.0000,0.0000
NA11995,0.0000,0.0000,-0.0000,1.0000,0.0000
